Gene	Tau	Classification	Specific_parts
Glyma.01G079200	0.3599952418876981	Broad	NA
Glyma.01G079250	0.6477108651241337	Broad	NA
Glyma.01G079300	0.20552766908438402	Broad	NA
Glyma.01G079500	0.25620461354291085	Broad	NA
Glyma.01G080200	0.17342626600458522	Broad	NA
Glyma.01G080400	0.37648948586948267	Broad	NA
Glyma.01G080500	0.4431595373865226	Broad	NA
Glyma.01G080600	0.4488333592462176	Broad	NA
Glyma.01G080700	0.22085601035661673	Broad	NA
Glyma.01G080900	0.3082570727701155	Broad	NA
Glyma.01G081050	0.4875188681431945	Broad	NA
Glyma.01G081100	0.45082988872734564	Broad	NA
Glyma.01G081300	0.4107882679847225	Broad	NA
Glyma.01G081500	0.09507708746054172	Broad	NA
Glyma.01G081600	0.6195218191117929	Broad	NA
Glyma.01G082000	0.7180643324265836	Broad	NA
Glyma.01G082200	0.23190176237858892	Broad	NA
Glyma.01G082400	0.30903834981958267	Broad	NA
Glyma.01G082500	0.435603993216282	Broad	NA
Glyma.01G082600	0.6436611139972347	Broad	NA
Glyma.01G082700	0.4463421752701347	Broad	NA
Glyma.01G082802	0.28697534623280097	Broad	NA
Glyma.01G082900	0.620685348574481	Broad	NA
Glyma.01G083000	0.578666182453716	Broad	NA
Glyma.01G083100	0.732186251158613	Broad	NA
Glyma.01G083400	0.45415636901139106	Broad	NA
Glyma.01G084400	0.5662239271406553	Broad	NA
Glyma.01G084500	0.3366032326860178	Broad	NA
Glyma.01G084600	0.4442767783421907	Broad	NA
Glyma.01G084700	0.3061926991337228	Broad	NA
Glyma.01G084800	0.6699592461375014	Broad	NA
Glyma.01G085302	0.4072951921317952	Broad	NA
Glyma.01G086000	0.306956368769099	Broad	NA
Glyma.01G086201	0.3858163661537708	Broad	NA
Glyma.01G086600	0.6429531240408773	Broad	NA
Glyma.01G086700	0.6666387220763829	Broad	NA
Glyma.01G086900	0.5622329905914822	Broad	NA
Glyma.01G087000	0.34811510747966806	Broad	NA
Glyma.01G087100	0.5571261463000141	Broad	NA
Glyma.01G087500	0.48954431188380376	Broad	NA
Glyma.01G087700	0.3872061684667408	Broad	NA
Glyma.01G087800	0.405766066258607	Broad	NA
Glyma.01G087900	0.6414775268190323	Broad	NA
Glyma.01G088000	0.7622288686277006	Broad	NA
Glyma.01G088200	0.37198195700413494	Broad	NA
Glyma.01G088501	0.3696721847995368	Broad	NA
Glyma.01G089000	0.32987883472607377	Broad	NA
Glyma.01G089100	0.23115326905280095	Broad	NA
Glyma.01G089300	0.7579352493458695	Broad	NA
Glyma.01G089500	0.18957437426415405	Broad	NA
Glyma.01G089600	0.38581206571493365	Broad	NA
Glyma.01G089900	0.14233612691838785	Broad	NA
Glyma.01G090400	0.7639044756354638	Broad	NA
Glyma.01G090900	0.6092462939407076	Broad	NA
Glyma.01G092300	0.5564595879995765	Broad	NA
Glyma.01G092400	0.31245794622868395	Broad	NA
Glyma.01G092900	0.4926846036347544	Broad	NA
Glyma.01G093000	0.30657599287256304	Broad	NA
Glyma.01G093100	0.559512379411653	Broad	NA
Glyma.01G093200	0.3158591980323622	Broad	NA
Glyma.01G093902	0.19769378138833676	Broad	NA
Glyma.01G094200	0.2190560304806588	Broad	NA
Glyma.01G094600	0.6286047683475849	Broad	NA
Glyma.01G094800	0.3377492790035463	Broad	NA
